series,q_type,hallucination_rate,n
MMHal -- no history,regular,0.3884,10998
MMHal -- no history,follow-up,0.5064,9829
MMHal -- no history,adversarial,0.3590,11795
MMHal -- no history,unanswerable,0.5642,4367
MMHal -- with history,regular,0.3762,2961
MMHal -- with history,follow-up,0.4595,2542
MMHal -- with history,adversarial,0.5786,3265
MMHal -- with history,unanswerable,0.6112,1209

series,bin_center,hallucination_rate,n
MMHal -- no history,0.050,0.4063,1420
MMHal -- no history,0.150,0.4476,3874
MMHal -- no history,0.250,0.4664,4235
MMHal -- no history,0.350,0.4617,3130
MMHal -- no history,0.450,0.4332,3022
MMHal -- no history,0.550,0.4400,4959
MMHal -- no history,0.650,0.4354,3654
MMHal -- no history,0.750,0.4286,3094
MMHal -- no history,0.850,0.4056,3967
MMHal -- no history,0.950,0.3903,5634
MMHal -- with history,0.050,0.3782,386
MMHal -- with history,0.150,0.4238,1043
MMHal -- with history,0.250,0.5062,1134
MMHal -- with history,0.350,0.5348,847
MMHal -- with history,0.450,0.5527,807
MMHal -- with history,0.550,0.5126,1350
MMHal -- with history,0.650,0.5076,983
MMHal -- with history,0.750,0.4737,838
MMHal -- with history,0.850,0.5089,1067
MMHal -- with history,0.950,0.4717,1522
