examiner,model,grader,pearson_r,n
baseline,InternVL3-8B-Instruct,chairs,-0.0276,50
baseline,InternVL3-8B-Instruct,chairi,-0.1077,50
baseline,InternVL3-8B-Instruct,mmhal,0.1153,50
baseline,InternVL3-8B-Instruct,ged,,0
baseline,InternVL3-8B-Instruct,delcon,,0
baseline,InternVL3-8B-Instruct,softspice,,0
baseline,InternVL3-8B-Instruct,haelm,,0
baseline,llava-1.5-7b-hf,chairs,,50
baseline,llava-1.5-7b-hf,chairi,0.3592,50
baseline,llava-1.5-7b-hf,mmhal,0.5879,50
baseline,llava-1.5-7b-hf,ged,,0
baseline,llava-1.5-7b-hf,delcon,,0
baseline,llava-1.5-7b-hf,softspice,,0
baseline,llava-1.5-7b-hf,haelm,,0
baseline,opera-llava-1.5,chairs,,43
baseline,opera-llava-1.5,chairi,0.1284,43
baseline,opera-llava-1.5,mmhal,0.5233,43
baseline,opera-llava-1.5,ged,,2
baseline,opera-llava-1.5,delcon,,2
baseline,opera-llava-1.5,softspice,,0
baseline,opera-llava-1.5,haelm,,2
CEDI,InternVL3-8B-Instruct,chairs,,50
CEDI,InternVL3-8B-Instruct,chairi,0.0933,50
CEDI,InternVL3-8B-Instruct,mmhal,0.4636,50
CEDI,InternVL3-8B-Instruct,ged,-0.0832,50
CEDI,InternVL3-8B-Instruct,delcon,0.1041,50
CEDI,InternVL3-8B-Instruct,softspice,,0
CEDI,InternVL3-8B-Instruct,haelm,,0
CEDI,Qwen3-VL-8B-Instruct,chairs,,50
CEDI,Qwen3-VL-8B-Instruct,chairi,-0.1921,50
CEDI,Qwen3-VL-8B-Instruct,mmhal,0.4265,50
CEDI,Qwen3-VL-8B-Instruct,ged,,0
CEDI,Qwen3-VL-8B-Instruct,delcon,,0
CEDI,Qwen3-VL-8B-Instruct,softspice,,0
CEDI,Qwen3-VL-8B-Instruct,haelm,,0
CEDI,llava-1.5-7b-hf,chairs,,50
CEDI,llava-1.5-7b-hf,chairi,-0.0149,50
CEDI,llava-1.5-7b-hf,mmhal,0.2786,50
CEDI,llava-1.5-7b-hf,ged,,0
CEDI,llava-1.5-7b-hf,delcon,,0
CEDI,llava-1.5-7b-hf,softspice,,0
CEDI,llava-1.5-7b-hf,haelm,,0
CEDI,opera-llava-1.5,chairs,,50
CEDI,opera-llava-1.5,chairi,-0.2553,50
CEDI,opera-llava-1.5,mmhal,-0.1193,50
CEDI,opera-llava-1.5,ged,-0.2401,50
CEDI,opera-llava-1.5,delcon,0.1203,50
CEDI,opera-llava-1.5,softspice,,0
CEDI,opera-llava-1.5,haelm,,0
