model,v18_all,long_all,delta_all,v18_regular,long_regular,delta_regular,v18_follow-up,long_follow-up,delta_follow-up,v18_adversarial,long_adversarial,delta_adversarial,v18_unanswerable,long_unanswerable,delta_unanswerable
InternVL2-2B,0.5060,0.5863,+0.0803,0.5017,0.6386,+0.1369,0.6567,0.6152,-0.0414,0.2928,0.5826,+0.2898,0.7490,0.3986,-0.3505
InternVL2-8B,0.3361,0.5596,+0.2235,0.3831,0.6043,+0.2212,0.3996,0.5325,+0.1329,0.1813,0.6005,+0.4192,0.5145,0.3727,-0.1418
InternVL2_5-2B,0.3908,0.6366,+0.2458,0.4150,0.6141,+0.1991,0.5254,0.5899,+0.0645,0.2668,0.7049,+0.4381,0.3707,0.5993,+0.2286
InternVL2_5-8B,0.2695,0.5397,+0.2703,0.3132,0.5673,+0.2542,0.3146,0.5346,+0.2200,0.1538,0.5822,+0.4283,0.3729,0.3556,-0.0172
InternVL3-2B-Instruct,0.4088,0.6216,+0.2128,0.3758,0.6387,+0.2628,0.5120,0.5939,+0.0820,0.2912,0.6470,+0.3558,0.5798,0.5560,-0.0239
Qwen2.5-VL-3B-Instruct,0.2296,0.3640,+0.1344,0.3174,0.3660,+0.0486,0.3607,0.4549,+0.0942,0.0735,0.3078,+0.2344,0.1447,0.3154,+0.1707
Qwen2.5-VL-7B-Instruct,0.2424,0.2376,-0.0048,0.3281,0.3278,-0.0003,0.3747,0.3953,+0.0206,0.0952,0.0915,-0.0037,0.1405,0.0735,-0.0670
gemma-3-12b-it,0.4195,0.5156,+0.0962,0.3746,0.3677,-0.0069,0.4724,0.4542,-0.0182,0.3633,0.6189,+0.2556,0.5658,0.7108,+0.1451
gemma-3-4b-it,0.4140,0.6797,+0.2658,0.3748,0.4954,+0.1207,0.4037,0.4686,+0.0650,0.3466,0.8790,+0.5324,0.7244,0.9788,+0.2544
llava-1.5-7b-hf,0.6526,0.6525,-0.0001,0.3506,0.3339,-0.0167,0.5188,0.5145,-0.0043,0.9230,0.9122,-0.0107,0.9957,0.9958,+0.0001
